Дата отправления;Объем кузова;Станция отправления;Станция назначения;Наименование груза;Станция отправления код;Станция назн. код;Ставка с Заказчиком б/ндс, руб;Отправки УТК, в/о;Длительность
01.10.2022;138;Обнинское;Наушки (эксп. АО "УБЖД": участок Улаанбаатар (вкл.) и далее);Тосолы, не поименованные в алфавите;18370;93710;130000,00;1;
01.10.2022;150;Бескудниково;Чита I;Шунгизит;19580;94000;130000,00;1;
02.10.2022;138;Разъезд № 71;Тихонький (обп);Не определён;94370;51510;223050,20;1;
01.10.2022;138;Шу;Хабаровск II;Лук репчатый и сеянец;70460;97000;215000,00;1;
01.10.2022;138;Шу;Хабаровск II;Лук репчатый и сеянец;70460;97000;215000,00;1;
01.10.2022;138;Шу;Хабаровск II;Лук репчатый и сеянец;70460;97000;220000,00;1;
01.10.2022;138;Шу;Хабаровск II;Лук репчатый и сеянец;70460;97000;215000,00;1;
01.10.2022;138;Шу;Уссурийск;Лук репчатый и сеянец;70460;98830;230000,00;1;
03.10.2022;138;Обловка;Сызрань I;Сахар-песок;60200;63560;50000,00;1;
03.10.2022;138;Шедок;Грозный;Плиты и плитки гипсовые;53590;54000;54000,00;1;
03.10.2022;138;Шедок;Грозный;Плиты и плитки гипсовые;53590;54000;54000,00;1;
03.10.2022;138;Обловка;Химическая;Сахар-песок;60200;63710;54166,67;1;
03.10.2022;161;Китой-Комбинатская;Наушки (эксп. АО "УБЖД": участок Улаанбаатар (вкл.) и далее);Изделия гипсоволокнистые и гипсовые, не поименованные в алфавите;93210;93710;85000,00;1;
03.10.2022;138;Минеральные Воды;Горадиз;Пшеница;53000;55180;104500,00;1;
03.10.2022;138;Минеральные Воды;Горадиз;Пшеница;53000;55180;106000,00;1;
03.10.2022;138;Минеральные Воды;Горадиз;Пшеница;53000;55180;104500,00;1;
03.10.2022;138;Минеральные Воды;Горадиз;Пшеница;53000;55180;106000,00;1;
03.10.2022;138;Минеральные Воды;Горадиз;Пшеница;53000;55180;106000,00;1;
03.10.2022;138;Минеральные Воды;Горадиз;Пшеница;53000;55180;106000,00;1;
03.10.2022;138;Магнитогорск-Грузовой;Караганда-Сортировочная;Глина кислотоупорная и огнеупорная, не поименованная в алфавите;81760;67300;72000,00;1;
03.10.2022;157,2;Благовещенск;Улак (рзд);Сборная повагонная отправка;95470;91310;115416,67;1;
03.10.2022;138;Карповская;Набережные Челны;Мука пшеничная высшего сорта;61590;64850;47500,00;1;
03.10.2022;150;Межег;Кольцово;Фанера клееная;28200;79430;60000,00;1;
